Heit(km)	Oden(m-3)	O2den(m-3)	Nden(m-3)	N2den(m-3)	T(eV)	Q_O(s-1)	Q_O2(s-1)	Q_N(s-1)	Q_N2(s-1)
0.0	9.999e-32	5.196e+24	9.999e-32	1.938e+25	0.025236750000000006	7.925476715126317e-28	4.118489550134647e+28	7.925476715126317e-28	1.536110998491329e+29
50.0	9.999e-32	5.113e+21	9.999e-32	1.907e+22	0.022787250000000002	7.894553941279755e-28	4.036889119088247e+25	7.894553941279755e-28	1.5056420008021294e+26
100.0	5.147e+17	1.561e+18	60330000000.0	6.465e+18	0.016482375	4.0480006173597956e+21	1.2276916579946845e+22	474481984156433.75	5.084578199190028e+22
150.0	8418000000000000.0	2176000000000000.0	5650000000000.0	2.364e+16	0.05750287500000001	6.595134633620668e+19	1.7048007796101892e+19	4.4265277595577064e+16	1.8520905528485695e+20
200.0	2119000000000000.0	139800000000000.0	12690000000000.0	2444000000000000.0	0.07206187500000001	1.6538145713863088e+19	1.0910961636611891e+18	9.904156163705643e+16	1.9074671130099757e+19
250.0	724400000000000.0	16770000000000.0	6406000000000.0	387800000000000.0	0.07584825	5.632328660847718e+18	1.3038949702155747e+17	4.980769933930216e+16	3.015208523849731e+18
300.0	268600000000000.0	2330000000000.0	2754000000000.0	68960000000000.0	0.076857375	2.0805666535826245e+18	1.8048102393326564e+16	2.1332392270910452e+16	5.34161863108927e+17
350.0	102800000000000.0	342200000000.0	1190000000000.0	12860000000000.0	0.077133375	7.933174738310724e+17	2640790267947402.5	9183344298239068.0	9.924185518937346e+16
400.0	40070000000000.0	52050000000.0	521800000000.0	2473000000000.0	0.07721100000000002	3.080800316564923e+17	400188810774155.8	4011883217328617.0	1.9013773852920028e+16
450.0	15850000000000.0	8153000000.0	231800000000.0	487900000000.0	0.07722825000000001	1.214159162002448e+17	62454508818965.04	1775659897490015.5	3737465332119838.5
500.0	6361000000000.0	1313000000.0	104200000000.0	98610000000.0	0.07723687500000001	4.854959028425018e+16	10021319296214.508	795294341710245.0	752629318963985.1
550.0	2587000000000.0	217000000.0	47390000000.0	20400000000.0	0.07723687500000001	1.9673513317953056e+16	1650232852723.546	360389561707690.5	155137097675393.25
600.0	1065000000000.0	36820000.0	21800000000.0	4317000000.0	0.07723687500000001	8069967038702133.0	279001113957.75824	165188057693621.12	32711781883640.477
650.0	444500000000.0	6408000.0	10140000000.0	934100000.0	0.07723687500000001	3356153001590581.5	48382966106.16973	76561060598714.28	7052829063635.011
700.0	187700000000.0	1143000.0	4769000000.0	206500000.0	0.07723687500000001	1412189922055365.2	8599536925.462347	35880307609387.516	1553634623891.4912
750.0	80260000000.0	208900.0	2266000000.0	46650000.0	0.07723687500000001	601724508326982.1	1566163092.318796	16988633639034.904	349743936125.7627
800.0	34720000000.0	39110.0	1088000000.0	10760000.0	0.07723687500000001	259393256123160.88	292190963.33458585	8128452265610.57	80388002185.63396
850.0	15200000000.0	7492.0	528000000.0	2532000.0	0.07723687500000001	113165365726444.77	55778613.15937659	3931007441023.8706	18850967501.273563
900.0	6728000000.0	1468.0	258700000.0	607800.0	0.07723687500000001	49918016413876.17	10891743.177106157	1919410054439.6204	4509537808.613843
950.0	3012000000.0	294.2	128000000.0	148800.0	0.07723687500000001	22270910321703.895	2175332.60844797	946439748067.0978	1100236207.1280012
1000.0	1363000000.0	60.269999999999996	63940000.0	37140.0	0.07723687500000001	10043860081960.387	444125.7866028998	471169782568.26636	273682291.59501743
